inputLength,outputLength,sAlgorithm,buffersize,time
16192, 0, SHA3-256, 8, 0
16192, 0, SHA3-256, 16, 0
16192, 0, SHA3-256, 32, 0
16192, 0, SHA3-256, 64, 0
16192, 0, SHA3-256, 128, 0
16192, 0, SHA3-256, 256, 0
16192, 0, SHA3-256, 512, 0
16192, 0, SHA3-256, 1024, 0
16192, 0, SHA3-256, 2048, 0
16192, 0, SHA3-256, 4096, 0
16192, 0, SHA3-256, 8192, 15
16192, 0, SHA3-256, 16384, 0
16192, 0, SHA3-256, 32768, 32
16192, 0, SHA3-256, 65536, 15
16192, 0, SHA3-256, 131072, 53
16192, 0, SHA3-256, 262144, 101
16192, 0, SHA3-256, 524288, 231
16192, 0, SHA3-256, 1048576, 422
16192, 0, SHA3-256, 2097152, 864
16192, 0, SHA3-256, 4194304, 1742
16192, 0, SHA3-256, 8388608, 3493
16192, 0, SHA3-256, 16777216, 6932
16192, 0, SHA3-256, 33554432, 13882
16192, 0, SHA3-256, 67108864, 27616
16192, 0, SHA3-384, 1, 0
16192, 0, SHA3-384, 2, 0
16192, 0, SHA3-384, 4, 0
16192, 0, SHA3-384, 8, 15
16192, 0, SHA3-384, 16, 1
16192, 0, SHA3-384, 32, 1
16192, 0, SHA3-384, 64, 1
16192, 0, SHA3-384, 128, 0
16192, 0, SHA3-384, 256, 1
16192, 0, SHA3-384, 512, 0
16192, 0, SHA3-384, 1024, 0
16192, 0, SHA3-384, 2048, 0
16192, 0, SHA3-384, 4096, 0
16192, 0, SHA3-384, 8192, 0
16192, 0, SHA3-384, 16384, 15
16192, 0, SHA3-384, 32768, 16
16192, 0, SHA3-384, 65536, 31
16192, 0, SHA3-384, 131072, 54
16192, 0, SHA3-384, 262144, 100
16192, 0, SHA3-384, 524288, 231
16192, 0, SHA3-384, 1048576, 432
16192, 0, SHA3-384, 2097152, 870
16192, 0, SHA3-384, 4194304, 1742
16192, 0, SHA3-384, 8388608, 3505
16192, 0, SHA3-384, 16777216, 6949
16192, 0, SHA3-384, 33554432, 13903
16192, 0, SHA3-384, 67108864, 27910
16192, 0, SHA3-512, 1, 0
16192, 0, SHA3-512, 2, 0
16192, 0, SHA3-512, 4, 0
16192, 0, SHA3-512, 8, 1
16192, 0, SHA3-512, 16, 0
16192, 0, SHA3-512, 32, 0
16192, 0, SHA3-512, 64, 0
16192, 0, SHA3-512, 128, 1
16192, 0, SHA3-512, 256, 0
16192, 0, SHA3-512, 512, 0
16192, 0, SHA3-512, 1024, 0
16192, 0, SHA3-512, 2048, 0
16192, 0, SHA3-512, 4096, 0
16192, 0, SHA3-512, 8192, 0
16192, 0, SHA3-512, 16384, 16
16192, 0, SHA3-512, 32768, 16
16192, 0, SHA3-512, 65536, 31
16192, 0, SHA3-512, 131072, 53
16192, 0, SHA3-512, 262144, 116
16192, 0, SHA3-512, 524288, 232
16192, 0, SHA3-512, 1048576, 439
16192, 0, SHA3-512, 2097152, 918
16192, 0, SHA3-512, 4194304, 1789
16192, 0, SHA3-512, 8388608, 3570
16192, 0, SHA3-512, 16777216, 7086
16192, 0, SHA3-512, 33554432, 14333
16192, 0, SHA3-512, 67108864, 29111
24288, 0, SHA-1, 1, 0
24288, 0, SHA-1, 2, 0
24288, 0, SHA-1, 4, 0
24288, 0, SHA-1, 8, 0
24288, 0, SHA-1, 16, 0
24288, 0, SHA-1, 32, 0
24288, 0, SHA-1, 64, 0
24288, 0, SHA-1, 128, 0
24288, 0, SHA-1, 256, 0
24288, 0, SHA-1, 512, 0
24288, 0, SHA-1, 1024, 0
24288, 0, SHA-1, 2048, 0
24288, 0, SHA-1, 4096, 0
24288, 0, SHA-1, 8192, 0
24288, 0, SHA-1, 16384, 0
24288, 0, SHA-1, 32768, 0
24288, 0, SHA-1, 65536, 0
24288, 0, SHA-1, 131072, 0
24288, 0, SHA-1, 262144, 0
24288, 0, SHA-1, 524288, 0
24288, 0, SHA-1, 1048576, 0
24288, 0, SHA-1, 2097152, 0
24288, 0, SHA-1, 4194304, 0
