222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 0, 0, naive, 24, 245
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 0, 0, random, 8432038703039025886, 43
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 00, 0, naive, 66, 11
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 00, 0, random, 3252601451182130161, 12
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 000, 0, naive, 3723, 330
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 000, 0, random, 2748555192297689935, 88
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 0000, 0, naive, 14089, 318
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 0000, 0, random, 1724427331014130599, 12608
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 0, 1, naive, 0, 1
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 0, 1, random, 492385097069812277, 0
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 00, 1, naive, 5, 0
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 00, 1, random, 4003244919149167666, 3
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 000, 1, naive, 21, 1
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 000, 1, random, 4517174588778127020, 5
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 0000, 1, naive, 21, 1
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 0000, 1, random, 6469962131420340588, 202
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 0, 2, naive, 9, 0
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 0, 2, random, 5342277979686395427, 1
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 00, 2, naive, 76, 1
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 00, 2, random, 5823727574430093153, 61
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 000, 2, naive, 8410, 144
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 000, 2, random, 3644772350874621313, 1187
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 0000, 2, naive, 15123, 262
222b8b8333848771852775fec02ec65b50b3ce18782163b9ab085a1a03477d88, 0000, 2, random, 2539597235804378171, 10937
8a64c6be8c884928a331948a851e499b87634a52fbfbd93b5cc1e35f8e24a1b3, 0, 0, naive, 38, 1
8a64c6be8c884928a331948a851e499b87634a52fbfbd93b5cc1e35f8e24a1b3, 0, 0, random, 4479849559070264734, 5
8a64c6be8c884928a331948a851e499b87634a52fbfbd93b5cc1e35f8e24a1b3, 00, 0, naive, 88, 2
8a64c6be8c884928a331948a851e499b87634a52fbfbd93b5cc1e35f8e24a1b3, 00, 0, random, 3384035667093418138, 3
8a64c6be8c884928a331948a851e499b87634a52fbfbd93b5cc1e35f8e24a1b3, 000, 0, naive, 88, 1
8a64c6be8c884928a331948a851e499b87634a52fbfbd93b5cc1e35f8e24a1b3, 000, 0, random, 4944489157086033294, 78
