
SHA3-224, 265297824, 56, 0, 1494
SHA3-256, 265297824, 64, 0, 1521
SHA3-384, 265297824, 96, 0, 1852
SHA3-512, 265297824, 128, 0, 2526
SHA-1, 530587552, 40, 0, 1138
SHA-224, 530587552, 56, 0, 1165
SHA-256, 530587552, 64, 0, 1066
SHA-384, 530587552, 96, 0, 1744
SHA-512, 530587552, 128, 0, 1706
SHA3-224, 530587552, 56, 0, 2931
SHA3-256, 530587552, 64, 0, 3140
SHA3-384, 530587552, 96, 0, 3729
SHA3-512, 530587552, 128, 0, 4942
SHA-1, 1061167008, 40, 0, 2909
SHA-224, 1061167008, 56, 0, 2271
SHA-256, 1061167008, 64, 0, 2035
SHA-384, 1061167008, 96, 0, 3505
SHA-512, 1061167008, 128, 0, 3441
SHA3-224, 1061167008, 56, 0, 5918
SHA3-256, 1061167008, 64, 0, 6112
SHA3-384, 1061167008, 96, 0, 7462
SHA3-512, 1061167008, 128, 0, 9853
SHA-1, 16192, 40, 0, 44
SHA-224, 16192, 56, 0, 4
SHA-256, 16192, 64, 0, 4
SHA-384, 16192, 96, 0, 8
SHA-512, 16192, 128, 0, 4
SHA3-224, 16192, 56, 0, 6
SHA3-256, 16192, 64, 0, 2
SHA3-384, 16192, 96, 0, 3
SHA3-512, 16192, 128, 0, 4
