
16192, 40, SHA-1, 1, 1443
16192, 40, SHA-1, 2, 201
16192, 40, SHA-1, 4, 100
16192, 40, SHA-1, 8, 47
16192, 40, SHA-1, 16, 21
16192, 40, SHA-1, 32, 16
16192, 40, SHA-1, 64, 15
16192, 40, SHA-1, 128, 16
16192, 40, SHA-1, 256, 18
16192, 40, SHA-1, 512, 3
16192, 40, SHA-1, 1024, 16
16192, 40, SHA-1, 2048, 0
16192, 40, SHA-1, 4096, 15
16192, 40, SHA-1, 8192, 0
16192, 40, SHA-1, 16384, 0
16192, 40, SHA-1, 32768, 16
16192, 40, SHA-1, 65536, 38
16192, 40, SHA-1, 131072, 62
16192, 40, SHA-1, 262144, 116
16192, 40, SHA-1, 524288, 254
16192, 40, SHA-1, 1048576, 485
16192, 40, SHA-1, 2097152, 917
16192, 40, SHA-1, 4194304, 1804
16192, 40, SHA-1, 8388608, 3577
16192, 40, SHA-1, 16777216, 7177
16192, 40, SHA-1, 33554432, 14328
16192, 40, SHA-1, 67108864, 28895
16192, 56, SHA-224, 1, 563
16192, 56, SHA-224, 2, 254
16192, 56, SHA-224, 4, 131
16192, 56, SHA-224, 8, 69
16192, 56, SHA-224, 16, 47
16192, 56, SHA-224, 32, 34
16192, 56, SHA-224, 64, 3
16192, 56, SHA-224, 128, 16
16192, 56, SHA-224, 256, 15
16192, 56, SHA-224, 512, 16
16192, 56, SHA-224, 1024, 15
16192, 56, SHA-224, 2048, 0
16192, 56, SHA-224, 4096, 16
16192, 56, SHA-224, 8192, 0
16192, 56, SHA-224, 16384, 22
16192, 56, SHA-224, 32768, 16
16192, 56, SHA-224, 65536, 31
16192, 56, SHA-224, 131072, 53
16192, 56, SHA-224, 262144, 132
16192, 56, SHA-224, 524288, 232
16192, 56, SHA-224, 1048576, 470
16192, 56, SHA-224, 2097152, 917
16192, 56, SHA-224, 4194304, 1820
16192, 56, SHA-224, 8388608, 3623
16192, 56, SHA-224, 16777216, 7217
16192, 56, SHA-224, 33554432, 14377
16192, 56, SHA-224, 67108864, 28724
16192, 64, SHA-256, 1, 567
16192, 64, SHA-256, 2, 286
16192, 64, SHA-256, 4, 153
16192, 64, SHA-256, 8, 78
16192, 64, SHA-256, 16, 54
16192, 64, SHA-256, 32, 15
16192, 64, SHA-256, 64, 16
16192, 64, SHA-256, 128, 18
16192, 64, SHA-256, 256, 3
16192, 64, SHA-256, 512, 15
16192, 64, SHA-256, 1024, 0
16192, 64, SHA-256, 2048, 16
16192, 64, SHA-256, 4096, 0
16192, 64, SHA-256, 8192, 16
16192, 64, SHA-256, 16384, 0
16192, 64, SHA-256, 32768, 16
16192, 64, SHA-256, 65536, 22
16192, 64, SHA-256, 131072, 62
16192, 64, SHA-256, 262144, 117
16192, 64, SHA-256, 524288, 253
16192, 64, SHA-256, 1048576, 467
16192, 64, SHA-256, 2097152, 903
16192, 64, SHA-256, 4194304, 1818
16192, 64, SHA-256, 8388608, 3622
16192, 64, SHA-256, 16777216, 7193
16192, 64, SHA-256, 33554432, 14359
16192, 64, SHA-256, 67108864, 28826
16192, 96, SHA-384, 1, 834
16192, 96, SHA-384, 2, 416
16192, 96, SHA-384, 4, 216
16192, 96, SHA-384, 8, 118
16192, 96, SHA-384, 16, 50
16192, 96, SHA-384, 32, 32
16192, 96, SHA-384, 64, 21
16192, 96, SHA-384, 128, 16
16192, 96, SHA-384, 256, 16
16192, 96, SHA-384, 512, 16
16192, 96, SHA-384, 1024, 0
16192, 96, SHA-384, 2048, 15
16192, 96, SHA-384, 4096, 16
16192, 96, SHA-384, 8192, 0
16192, 96, SHA-384, 16384, 20
16192, 96, SHA-384, 32768, 1
16192, 96, SHA-384, 65536, 31
16192, 96, SHA-384, 131072, 69
16192, 96, SHA-384, 262144, 116
16192, 96, SHA-384, 524288, 231
16192, 96, SHA-384, 1048576, 470
16192, 96, SHA-384, 2097152, 917
16192, 96, SHA-384, 4194304, 1804
16192, 96, SHA-384, 8388608, 3591
16192, 96, SHA-384, 16777216, 7174
16192, 96, SHA-384, 33554432, 14278
16192, 96, SHA-384, 67108864, 34411
16192, 128, SHA-512, 1, 1338
16192, 128, SHA-512, 2, 732
16192, 128, SHA-512, 4, 559
16192, 128, SHA-512, 8, 172
16192, 128, SHA-512, 16, 89
16192, 128, SHA-512, 32, 100
16192, 128, SHA-512, 64, 90
16192, 128, SHA-512, 128, 41
16192, 128, SHA-512, 256, 12
16192, 128, SHA-512, 512, 12
16192, 128, SHA-512, 1024, 9
16192, 128, SHA-512, 2048, 8
16192, 128, SHA-512, 4096, 13
16192, 128, SHA-512, 8192, 9
16192, 128, SHA-512, 16384, 10
16192, 128, SHA-512, 32768, 17
16192, 128, SHA-512, 65536, 38
16192, 128, SHA-512, 131072, 70
16192, 128, SHA-512, 262144, 161
16192, 128, SHA-512, 524288, 368
16192, 128, SHA-512, 1048576, 506
16192, 128, SHA-512, 2097152, 1041
16192, 128, SHA-512, 4194304, 2231
16192, 128, SHA-512, 8388608, 4003
16192, 128, SHA-512, 16777216, 8898
16192, 128, SHA-512, 33554432, 16383
16192, 128, SHA-512, 67108864, 31726
16192, 56, SHA3-224, 1, 517
16192, 56, SHA3-224, 2, 253
16192, 56, SHA3-224, 4, 148
