sAlgorithm,inputLength,outputLength,buffersize,time
 SHA3-384,2080672,0,128,0
 SHA3-384,2080672,0,256,0
 SHA3-384,2080672,0,512,0
 SHA3-384,2080672,0,1024,0
 SHA3-384,2080672,0,2048,0
 SHA3-384,2080672,0,4096,0
 SHA3-384,2080672,0,8192,0
 SHA3-384,2080672,0,16384,0
 SHA3-384,2080672,0,32768,0
 SHA3-384,2080672,0,65536,0
 SHA3-384,2080672,0,131072,0
 SHA3-384,2080672,0,262144,0
 SHA3-384,2080672,0,524288,0
 SHA3-384,2080672,0,1048576,0
 SHA3-384,2080672,0,2097152,0
 SHA3-384,2080672,0,4194304,0
 SHA3-384,2080672,0,8388608,0
 SHA3-384,2080672,0,16777216,0
 SHA3-384,2080672,0,33554432,0
 SHA3-384,2080672,0,67108864,0
 SHA3-512,2080672,0,1,0
 SHA3-512,2080672,0,2,0
 SHA3-512,2080672,0,4,0
 SHA3-512,2080672,0,8,0
 SHA3-512,2080672,0,16,0
 SHA3-512,2080672,0,32,0
 SHA3-512,2080672,0,64,0
 SHA3-512,2080672,0,128,0
 SHA3-512,2080672,0,256,0
 SHA3-512,2080672,0,512,5
 SHA3-512,2080672,0,1024,0
 SHA3-512,2080672,0,2048,0
 SHA3-512,2080672,0,4096,0
 SHA3-512,2080672,0,8192,0
 SHA3-512,2080672,0,16384,0
 SHA3-512,2080672,0,32768,0
 SHA3-512,2080672,0,65536,0
 SHA3-512,2080672,0,131072,0
 SHA3-512,2080672,0,262144,0
 SHA3-512,2080672,0,524288,0
 SHA3-512,2080672,0,1048576,0
 SHA3-512,2080672,0,2097152,0
 SHA3-512,2080672,0,4194304,0
 SHA3-512,2080672,0,8388608,0
 SHA3-512,2080672,0,16777216,0
 SHA3-512,2080672,0,33554432,0
 SHA3-512,2080672,0,67108864,0
 SHA-1,4153248,0,1,0
 SHA-1,4153248,0,2,0
 SHA-1,4153248,0,4,0
 SHA-1,4153248,0,8,0
 SHA-1,4153248,0,16,0
 SHA-1,4153248,0,32,0
 SHA-1,4153248,0,64,0
 SHA-1,4153248,0,128,0
 SHA-1,4153248,0,256,0
 SHA-1,4153248,0,512,0
 SHA-1,4153248,0,1024,0
 SHA-1,4153248,0,2048,0
 SHA-1,4153248,0,4096,0
 SHA-1,4153248,0,8192,0
 SHA-1,4153248,0,16384,5
 SHA-1,4153248,0,32768,0
 SHA-1,4153248,0,65536,5
 SHA-1,4153248,0,131072,0
 SHA-1,4153248,0,262144,0
 SHA-1,4153248,0,524288,0
 SHA-1,4153248,0,1048576,0
 SHA-1,4153248,0,2097152,0
 SHA-1,4153248,0,4194304,0
 SHA-1,4153248,0,8388608,0
 SHA-1,4153248,0,16777216,0
 SHA-1,4153248,0,33554432,0
 SHA-1,4153248,0,67108864,0
 SHA-224,4153248,0,1,0
 SHA-224,4153248,0,2,0
 SHA-224,4153248,0,4,0
 SHA-224,4153248,0,8,0
 SHA-224,4153248,0,16,0
 SHA-224,4153248,0,32,0
 SHA-224,4153248,0,64,0
 SHA-224,4153248,0,128,0
 SHA-224,4153248,0,256,0
 SHA-224,4153248,0,512,0
 SHA-224,4153248,0,1024,0
 SHA-224,4153248,0,2048,0
 SHA-224,4153248,0,4096,0
 SHA-224,4153248,0,8192,0
 SHA-224,4153248,0,16384,0
 SHA-224,4153248,0,32768,0
 SHA-224,4153248,0,65536,0
 SHA-224,4153248,0,131072,0
 SHA-224,4153248,0,262144,1
 SHA-224,4153248,0,524288,0
 SHA-224,4153248,0,1048576,0
 SHA-224,4153248,0,2097152,0
 SHA-224,4153248,0,4194304,1
 SHA-224,4153248,0,8388608,0
 SHA-224,4153248,0,16777216,0
 SHA-224,4153248,0,33554432,0
 SHA-224,4153248,0,67108864,0
 SHA-256,4153248,0,1,0
 SHA-256,4153248,0,2,0
 SHA-256,4153248,0,4,0
 SHA-256,4153248,0,8,0
 SHA-256,4153248,0,16,0
 SHA-256,4153248,0,32,0
 SHA-256,4153248,0,64,0
 SHA-256,4153248,0,128,0
 SHA-256,4153248,0,256,0
 SHA-256,4153248,0,512,0
 SHA-256,4153248,0,1024,0
 SHA-256,4153248,0,2048,0
 SHA-256,4153248,0,4096,0
 SHA-256,4153248,0,8192,0
 SHA-256,4153248,0,16384,0
 SHA-256,4153248,0,32768,0
 SHA-256,4153248,0,65536,0
 SHA-256,4153248,0,131072,0
 SHA-256,4153248,0,262144,0
 SHA-256,4153248,0,524288,0
 SHA-256,4153248,0,1048576,0
 SHA-256,4153248,0,2097152,0
 SHA-256,4153248,0,4194304,0
 SHA-256,4153248,0,8388608,0
 SHA-256,4153248,0,16777216,0
 SHA-256,4153248,0,33554432,0
 SHA-256,4153248,0,67108864,0
 SHA-384,4153248,0,1,0
 SHA-384,4153248,0,2,0
 SHA-384,4153248,0,4,0
 SHA-384,4153248,0,8,0
 SHA-384,4153248,0,16,0
 SHA-384,4153248,0,32,0
 SHA-384,4153248,0,64,0
 SHA-384,4153248,0,128,0
 SHA-384,4153248,0,256,0
 SHA-384,4153248,0,512,5
 SHA-384,4153248,0,1024,0
 SHA-384,4153248,0,2048,0
 SHA-384,4153248,0,4096,0
 SHA-384,4153248,0,8192,0
 SHA-384,4153248,0,16384,0
 SHA-384,4153248,0,32768,0
 SHA-384,4153248,0,65536,0
 SHA-384,4153248,0,131072,0
 SHA-384,4153248,0,262144,0
 SHA-384,4153248,0,524288,0
 SHA-384,4153248,0,1048576,0
 SHA-384,4153248,0,2097152,0
 SHA-384,4153248,0,4194304,5
 SHA-384,4153248,0,8388608,0
 SHA-384,4153248,0,16777216,0
 SHA-384,4153248,0,33554432,0
 SHA-384,4153248,0,67108864,0
 SHA-512,4153248,0,1,0
 SHA-512,4153248,0,2,5
 SHA-512,4153248,0,4,0
 SHA-512,4153248,0,8,0
 SHA-512,4153248,0,16,0
 SHA-512,4153248,0,32,0
 SHA-512,4153248,0,64,0
 SHA-512,4153248,0,128,0
 SHA-512,4153248,0,256,0
 SHA-512,4153248,0,512,0
 SHA-512,4153248,0,1024,0
 SHA-512,4153248,0,2048,0
 SHA-512,4153248,0,4096,0
 SHA-512,4153248,0,8192,0
 SHA-512,4153248,0,16384,0
 SHA-512,4153248,0,32768,0
 SHA-512,4153248,0,65536,0
 SHA-512,4153248,0,131072,0
 SHA-512,4153248,0,262144,0
 SHA-512,4153248,0,524288,0
 SHA-512,4153248,0,1048576,0
 SHA-512,4153248,0,2097152,0
 SHA-512,4153248,0,4194304,0
 SHA-512,4153248,0,8388608,0
 SHA-512,4153248,0,16777216,0
 SHA-512,4153248,0,33554432,0
 SHA-512,4153248,0,67108864,0
 SHA3-224,4153248,0,1,5
 SHA3-224,4153248,0,2,0
 SHA3-224,4153248,0,4,0
 SHA3-224,4153248,0,8,0
 SHA3-224,4153248,0,16,0
 SHA3-224,4153248,0,32,0
 SHA3-224,4153248,0,64,0
 SHA3-224,4153248,0,128,0
 SHA3-224,4153248,0,256,0
 SHA3-224,4153248,0,512,0
 SHA3-224,4153248,0,1024,0
 SHA3-224,4153248,0,2048,0
 SHA3-224,4153248,0,4096,0
 SHA3-224,4153248,0,8192,0
 SHA3-224,4153248,0,16384,0
 SHA3-224,4153248,0,32768,5
 SHA3-224,4153248,0,65536,0
 SHA3-224,4153248,0,131072,0
 SHA3-224,4153248,0,262144,0
 SHA3-224,4153248,0,524288,0
 SHA3-224,4153248,0,1048576,0
 SHA3-224,4153248,0,2097152,5
 SHA3-224,4153248,0,4194304,0
 SHA3-224,4153248,0,8388608,0
 SHA3-224,4153248,0,16777216,0
 SHA3-224,4153248,0,33554432,0
 SHA3-224,4153248,0,67108864,0
 SHA3-256,4153248,0,1,1
 SHA3-256,4153248,0,2,0
 SHA3-256,4153248,0,4,0
 SHA3-256,4153248,0,8,0
 SHA3-256,4153248,0,16,1
 SHA3-256,4153248,0,32,1
 SHA3-256,4153248,0,64,1
 SHA3-256,4153248,0,128,0
 SHA3-256,4153248,0,256,0
 SHA3-256,4153248,0,512,0
 SHA3-256,4153248,0,1024,0
 SHA3-256,4153248,0,2048,0
 SHA3-256,4153248,0,4096,0
 SHA3-256,4153248,0,8192,0
 SHA3-256,4153248,0,16384,0
 SHA3-256,4153248,0,32768,0
 SHA3-256,4153248,0,65536,0
 SHA3-256,4153248,0,131072,0
 SHA3-256,4153248,0,262144,0
 SHA3-256,4153248,0,524288,0
 SHA3-256,4153248,0,1048576,0
 SHA3-256,4153248,0,2097152,0
 SHA3-256,4153248,0,4194304,0
 SHA3-256,4153248,0,8388608,0
 SHA3-256,4153248,0,16777216,0
 SHA3-256,4153248,0,33554432,0
 SHA3-256,4153248,0,67108864,0
 SHA3-384,4153248,0,1,0
 SHA3-384,4153248,0,2,0
 SHA3-384,4153248,0,4,0
 SHA3-384,4153248,0,8,0
 SHA3-384,4153248,0,16,0
 SHA3-384,4153248,0,32,0
 SHA3-384,4153248,0,64,0
 SHA3-384,4153248,0,128,0
 SHA3-384,4153248,0,256,5
 SHA3-384,4153248,0,512,0
 SHA3-384,4153248,0,1024,0
 SHA3-384,4153248,0,2048,0
 SHA3-384,4153248,0,4096,0
 SHA3-384,4153248,0,8192,0
 SHA3-384,4153248,0,16384,0
 SHA3-384,4153248,0,32768,0
 SHA3-384,4153248,0,65536,0
 SHA3-384,4153248,0,131072,0
 SHA3-384,4153248,0,262144,0
 SHA3-384,4153248,0,524288,0
 SHA3-384,4153248,0,1048576,0
 SHA3-384,4153248,0,2097152,0
 SHA3-384,4153248,0,4194304,0
 SHA3-384,4153248,0,8388608,0
 SHA3-384,4153248,0,16777216,0
 SHA3-384,4153248,0,33554432,0
 SHA3-384,4153248,0,67108864,0
 SHA3-512,4153248,0,1,0
 SHA3-512,4153248,0,2,0
 SHA3-512,4153248,0,4,0
 SHA3-512,4153248,0,8,0
 SHA3-512,4153248,0,16,0
 SHA3-512,4153248,0,32,0
 SHA3-512,4153248,0,64,0
 SHA3-512,4153248,0,128,0
 SHA3-512,4153248,0,256,0
 SHA3-512,4153248,0,512,0
 SHA3-512,4153248,0,1024,0
 SHA3-512,4153248,0,2048,0
 SHA3-512,4153248,0,4096,0
 SHA3-512,4153248,0,8192,0
 SHA3-512,4153248,0,16384,0
 SHA3-512,4153248,0,32768,0
 SHA3-512,4153248,0,65536,0
 SHA3-512,4153248,0,131072,0
 SHA3-512,4153248,0,262144,5
 SHA3-512,4153248,0,524288,0
 SHA3-512,4153248,0,1048576,0
 SHA3-512,4153248,0,2097152,0
 SHA3-512,4153248,0,4194304,0
 SHA3-512,4153248,0,8388608,0
 SHA3-512,4153248,0,16777216,0
 SHA3-512,4153248,0,33554432,0
 SHA3-512,4153248,0,67108864,0
 SHA-1,8298400,0,1,0
 SHA-1,8298400,0,2,0
 SHA-1,8298400,0,4,0
 SHA-1,8298400,0,8,0
 SHA-1,8298400,0,16,0
 SHA-1,8298400,0,32,0
 SHA-1,8298400,0,64,0
 SHA-1,8298400,0,128,0
 SHA-1,8298400,0,256,0
 SHA-1,8298400,0,512,0
 SHA-1,8298400,0,1024,0
 SHA-1,8298400,0,2048,0
 SHA-1,8298400,0,4096,0
 SHA-1,8298400,0,8192,0
 SHA-1,8298400,0,16384,0
 SHA-1,8298400,0,32768,0
 SHA-1,8298400,0,65536,0
 SHA-1,8298400,0,131072,0
 SHA-1,8298400,0,262144,0
 SHA-1,8298400,0,524288,1
 SHA-1,8298400,0,1048576,0
 SHA-1,8298400,0,2097152,0
 SHA-1,8298400,0,4194304,1
 SHA-1,8298400,0,8388608,0
 SHA-1,8298400,0,16777216,0
 SHA-1,8298400,0,33554432,0
 SHA-1,8298400,0,67108864,0
 SHA-224,8298400,0,1,0
 SHA-224,8298400,0,2,0
 SHA-224,8298400,0,4,0
 SHA-224,8298400,0,8,0
 SHA-224,8298400,0,16,0
 SHA-224,8298400,0,32,1
 SHA-224,8298400,0,64,0
 SHA-224,8298400,0,128,0
 SHA-224,8298400,0,256,0
 SHA-224,8298400,0,512,0
 SHA-224,8298400,0,1024,0
 SHA-224,8298400,0,2048,0
 SHA-224,8298400,0,4096,0
 SHA-224,8298400,0,8192,0
 SHA-224,8298400,0,16384,6
 SHA-224,8298400,0,32768,0
 SHA-224,8298400,0,65536,0
 SHA-224,8298400,0,131072,0
 SHA-224,8298400,0,262144,0
 SHA-224,8298400,0,524288,0
 SHA-224,8298400,0,1048576,0
 SHA-224,8298400,0,2097152,0
 SHA-224,8298400,0,4194304,0
 SHA-224,8298400,0,8388608,0
 SHA-224,8298400,0,16777216,0
 SHA-224,8298400,0,33554432,0
 SHA-224,8298400,0,67108864,0
 SHA-256,8298400,0,1,0
 SHA-256,8298400,0,2,0
 SHA-256,8298400,0,4,0
 SHA-256,8298400,0,8,0
 SHA-256,8298400,0,16,0
 SHA-256,8298400,0,32,0
 SHA-256,8298400,0,64,5
 SHA-256,8298400,0,128,0
 SHA-256,8298400,0,256,0
 SHA-256,8298400,0,512,0
 SHA-256,8298400,0,1024,0
 SHA-256,8298400,0,2048,0
 SHA-256,8298400,0,4096,0
 SHA-256,8298400,0,8192,0
 SHA-256,8298400,0,16384,0
 SHA-256,8298400,0,32768,0
 SHA-256,8298400,0,65536,0
 SHA-256,8298400,0,131072,0
 SHA-256,8298400,0,262144,5
 SHA-256,8298400,0,524288,0
 SHA-256,8298400,0,1048576,0
 SHA-256,8298400,0,2097152,0
 SHA-256,8298400,0,4194304,0
 SHA-256,8298400,0,8388608,0
 SHA-256,8298400,0,16777216,0
 SHA-256,8298400,0,33554432,0
 SHA-256,8298400,0,67108864,0
 SHA-384,8298400,0,1,0
 SHA-384,8298400,0,2,0
 SHA-384,8298400,0,4,0
 SHA-384,8298400,0,8,0
 SHA-384,8298400,0,16,0
 SHA-384,8298400,0,32,0
 SHA-384,8298400,0,64,0
 SHA-384,8298400,0,128,0
 SHA-384,8298400,0,256,0
 SHA-384,8298400,0,512,0
 SHA-384,8298400,0,1024,5
 SHA-384,8298400,0,2048,0
 SHA-384,8298400,0,4096,0
 SHA-384,8298400,0,8192,0
 SHA-384,8298400,0,16384,0
 SHA-384,8298400,0,32768,0
 SHA-384,8298400,0,65536,0
 SHA-384,8298400,0,131072,0
 SHA-384,8298400,0,262144,0
 SHA-384,8298400,0,524288,0
 SHA-384,8298400,0,1048576,0
 SHA-384,8298400,0,2097152,0
 SHA-384,8298400,0,4194304,0
 SHA-384,8298400,0,8388608,5
 SHA-384,8298400,0,16777216,0
 SHA-384,8298400,0,33554432,0
 SHA-384,8298400,0,67108864,0
 SHA-512,8298400,0,1,0
 SHA-512,8298400,0,2,0
 SHA-512,8298400,0,4,0
 SHA-512,8298400,0,8,0
 SHA-512,8298400,0,16,0
 SHA-512,8298400,0,32,0
 SHA-512,8298400,0,64,0
 SHA-512,8298400,0,128,0
 SHA-512,8298400,0,256,0
 SHA-512,8298400,0,512,0
 SHA-512,8298400,0,1024,0
 SHA-512,8298400,0,2048,0
 SHA-512,8298400,0,4096,0
 SHA-512,8298400,0,8192,0
 SHA-512,8298400,0,16384,0
 SHA-512,8298400,0,32768,0
 SHA-512,8298400,0,65536,0
 SHA-512,8298400,0,131072,0
 SHA-512,8298400,0,262144,0
 SHA-512,8298400,0,524288,0
 SHA-512,8298400,0,1048576,0
 SHA-512,8298400,0,2097152,0
 SHA-512,8298400,0,4194304,0
 SHA-512,8298400,0,8388608,0
 SHA-512,8298400,0,16777216,1
 SHA-512,8298400,0,33554432,0
 SHA-512,8298400,0,67108864,1
 SHA3-224,8298400,0,1,1
 SHA3-224,8298400,0,2,0
 SHA3-224,8298400,0,4,0
 SHA3-224,8298400,0,8,0
 SHA3-224,8298400,0,16,0
 SHA3-224,8298400,0,32,0
 SHA3-224,8298400,0,64,0
 SHA3-224,8298400,0,128,0
 SHA3-224,8298400,0,256,0
 SHA3-224,8298400,0,512,0
 SHA3-224,8298400,0,1024,0
 SHA3-224,8298400,0,2048,0
 SHA3-224,8298400,0,4096,0
 SHA3-224,8298400,0,8192,0
 SHA3-224,8298400,0,16384,0
 SHA3-224,8298400,0,32768,0
 SHA3-224,8298400,0,65536,6
 SHA3-224,8298400,0,131072,0
 SHA3-224,8298400,0,262144,0
 SHA3-224,8298400,0,524288,0
 SHA3-224,8298400,0,1048576,0
 SHA3-224,8298400,0,2097152,0
 SHA3-224,8298400,0,4194304,0
 SHA3-224,8298400,0,8388608,0
 SHA3-224,8298400,0,16777216,0
 SHA3-224,8298400,0,33554432,0
 SHA3-224,8298400,0,67108864,0
 SHA3-256,8298400,0,1,0
 SHA3-256,8298400,0,2,0
 SHA3-256,8298400,0,4,0
 SHA3-256,8298400,0,8,0
 SHA3-256,8298400,0,16,0
 SHA3-256,8298400,0,32,0
 SHA3-256,8298400,0,64,0
 SHA3-256,8298400,0,128,0
 SHA3-256,8298400,0,256,0
 SHA3-256,8298400,0,512,0
 SHA3-256,8298400,0,1024,0
 SHA3-256,8298400,0,2048,0
 SHA3-256,8298400,0,4096,5
 SHA3-256,8298400,0,8192,0
 SHA3-256,8298400,0,16384,0
 SHA3-256,8298400,0,32768,0
 SHA3-256,8298400,0,65536,0
 SHA3-256,8298400,0,131072,0
 SHA3-256,8298400,0,262144,0
 SHA3-256,8298400,0,524288,0
 SHA3-256,8298400,0,1048576,0
 SHA3-256,8298400,0,2097152,0
 SHA3-256,8298400,0,4194304,0
 SHA3-256,8298400,0,8388608,0
 SHA3-256,8298400,0,16777216,0
 SHA3-256,8298400,0,33554432,0
 SHA3-256,8298400,0,67108864,0
 SHA3-384,8298400,0,1,0
 SHA3-384,8298400,0,2,0
 SHA3-384,8298400,0,4,0
 SHA3-384,8298400,0,8,0
 SHA3-384,8298400,0,16,0
 SHA3-384,8298400,0,32,0
 SHA3-384,8298400,0,64,0
 SHA3-384,8298400,0,128,0
 SHA3-384,8298400,0,256,0
 SHA3-384,8298400,0,512,0
 SHA3-384,8298400,0,1024,0
 SHA3-384,8298400,0,2048,0
 SHA3-384,8298400,0,4096,0
 SHA3-384,8298400,0,8192,0
 SHA3-384,8298400,0,16384,0
 SHA3-384,8298400,0,32768,0
 SHA3-384,8298400,0,65536,5
 SHA3-384,8298400,0,131072,0
 SHA3-384,8298400,0,262144,0
 SHA3-384,8298400,0,524288,0
 SHA3-384,8298400,0,1048576,0
 SHA3-384,8298400,0,2097152,0
 SHA3-384,8298400,0,4194304,0
 SHA3-384,8298400,0,8388608,0
 SHA3-384,8298400,0,16777216,0
 SHA3-384,8298400,0,33554432,0
 SHA3-384,8298400,0,67108864,0
 SHA3-512,8298400,0,1,0
 SHA3-512,8298400,0,2,0
 SHA3-512,8298400,0,4,0
 SHA3-512,8298400,0,8,0
 SHA3-512,8298400,0,16,0
 SHA3-512,8298400,0,32,0
 SHA3-512,8298400,0,64,0
 SHA3-512,8298400,0,128,0
 SHA3-512,8298400,0,256,0
 SHA3-512,8298400,0,512,0
 SHA3-512,8298400,0,1024,0
 SHA3-512,8298400,0,2048,0
 SHA3-512,8298400,0,4096,0
 SHA3-512,8298400,0,8192,0
 SHA3-512,8298400,0,16384,0
 SHA3-512,8298400,0,32768,0
 SHA3-512,8298400,0,65536,0
 SHA3-512,8298400,0,131072,0
 SHA3-512,8298400,0,262144,0
 SHA3-512,8298400,0,524288,0
 SHA3-512,8298400,0,1048576,0
 SHA3-512,8298400,0,2097152,0
 SHA3-512,8298400,0,4194304,0
 SHA3-512,8298400,0,8388608,0
 SHA3-512,8298400,0,16777216,0
 SHA3-512,8298400,0,33554432,0
 SHA3-512,8298400,0,67108864,5
 SHA-1,16588704,0,1,0
 SHA-1,16588704,0,2,0
 SHA-1,16588704,0,4,0
 SHA-1,16588704,0,8,0
 SHA-1,16588704,0,16,0
 SHA-1,16588704,0,32,0
 SHA-1,16588704,0,64,0
 SHA-1,16588704,0,128,1
 SHA-1,16588704,0,256,0
 SHA-1,16588704,0,512,0
 SHA-1,16588704,0,1024,0
 SHA-1,16588704,0,2048,0
 SHA-1,16588704,0,4096,0
 SHA-1,16588704,0,8192,0
 SHA-1,16588704,0,16384,0
 SHA-1,16588704,0,32768,0
 SHA-1,16588704,0,65536,0
 SHA-1,16588704,0,131072,0
 SHA-1,16588704,0,262144,0
 SHA-1,16588704,0,524288,0
 SHA-1,16588704,0,1048576,0
 SHA-1,16588704,0,2097152,0
 SHA-1,16588704,0,4194304,0
 SHA-1,16588704,0,8388608,0
 SHA-1,16588704,0,16777216,0
 SHA-1,16588704,0,33554432,0
 SHA-1,16588704,0,67108864,0
 SHA-224,16588704,0,1,0
 SHA-224,16588704,0,2,0
 SHA-224,16588704,0,4,0
 SHA-224,16588704,0,8,0
 SHA-224,16588704,0,16,0
 SHA-224,16588704,0,32,0
 SHA-224,16588704,0,64,0
 SHA-224,16588704,0,128,0
 SHA-224,16588704,0,256,0
 SHA-224,16588704,0,512,0
 SHA-224,16588704,0,1024,0
 SHA-224,16588704,0,2048,0
 SHA-224,16588704,0,4096,0
 SHA-224,16588704,0,8192,0
 SHA-224,16588704,0,16384,0
 SHA-224,16588704,0,32768,0
 SHA-224,16588704,0,65536,0
 SHA-224,16588704,0,131072,0
 SHA-224,16588704,0,262144,0
 SHA-224,16588704,0,524288,5
 SHA-224,16588704,0,1048576,0
 SHA-224,16588704,0,2097152,0
 SHA-224,16588704,0,4194304,0
 SHA-224,16588704,0,8388608,0
 SHA-224,16588704,0,16777216,0
 SHA-224,16588704,0,33554432,0
 SHA-224,16588704,0,67108864,0
 SHA-256,16588704,0,1,0
 SHA-256,16588704,0,2,0
 SHA-256,16588704,0,4,0
 SHA-256,16588704,0,8,0
 SHA-256,16588704,0,16,0
 SHA-256,16588704,0,32,0
 SHA-256,16588704,0,64,0
 SHA-256,16588704,0,128,0
 SHA-256,16588704,0,256,0
 SHA-256,16588704,0,512,0
 SHA-256,16588704,0,1024,0
 SHA-256,16588704,0,2048,0
 SHA-256,16588704,0,4096,0
 SHA-256,16588704,0,8192,0
 SHA-256,16588704,0,16384,0
 SHA-256,16588704,0,32768,0
 SHA-256,16588704,0,65536,0
 SHA-256,16588704,0,131072,0
 SHA-256,16588704,0,262144,0
 SHA-256,16588704,0,524288,0
 SHA-256,16588704,0,1048576,0
 SHA-256,16588704,0,2097152,0
 SHA-256,16588704,0,4194304,0
 SHA-256,16588704,0,8388608,0
 SHA-256,16588704,0,16777216,0
 SHA-256,16588704,0,33554432,0
 SHA-256,16588704,0,67108864,0
 SHA-384,16588704,0,1,0
 SHA-384,16588704,0,2,0
 SHA-384,16588704,0,4,0
 SHA-384,16588704,0,8,5
 SHA-384,16588704,0,16,0
 SHA-384,16588704,0,32,0
 SHA-384,16588704,0,64,0
 SHA-384,16588704,0,128,0
 SHA-384,16588704,0,256,0
 SHA-384,16588704,0,512,0
 SHA-384,16588704,0,1024,0
 SHA-384,16588704,0,2048,0
 SHA-384,16588704,0,4096,0
 SHA-384,16588704,0,8192,0
 SHA-384,16588704,0,16384,0
 SHA-384,16588704,0,32768,0
 SHA-384,16588704,0,65536,5
 SHA-384,16588704,0,131072,0
 SHA-384,16588704,0,262144,0
 SHA-384,16588704,0,524288,0
 SHA-384,16588704,0,1048576,0
 SHA-384,16588704,0,2097152,0
 SHA-384,16588704,0,4194304,0
 SHA-384,16588704,0,8388608,0
 SHA-384,16588704,0,16777216,0
 SHA-384,16588704,0,33554432,0
 SHA-384,16588704,0,67108864,0
 SHA-512,16588704,0,1,0
 SHA-512,16588704,0,2,0
 SHA-512,16588704,0,4,0
 SHA-512,16588704,0,8,0
 SHA-512,16588704,0,16,0
 SHA-512,16588704,0,32,0
 SHA-512,16588704,0,64,0
 SHA-512,16588704,0,128,0
 SHA-512,16588704,0,256,0
 SHA-512,16588704,0,512,0
 SHA-512,16588704,0,1024,0
 SHA-512,16588704,0,2048,0
 SHA-512,16588704,0,4096,0
 SHA-512,16588704,0,8192,0
 SHA-512,16588704,0,16384,0
 SHA-512,16588704,0,32768,0
 SHA-512,16588704,0,65536,0
 SHA-512,16588704,0,131072,0
 SHA-512,16588704,0,262144,0
 SHA-512,16588704,0,524288,0
 SHA-512,16588704,0,1048576,0
 SHA-512,16588704,0,2097152,0
 SHA-512,16588704,0,4194304,0
 SHA-512,16588704,0,8388608,0
 SHA-512,16588704,0,16777216,0
 SHA-512,16588704,0,33554432,0
 SHA-512,16588704,0,67108864,1
 SHA3-224,16588704,0,1,0
 SHA3-224,16588704,0,2,1
 SHA3-224,16588704,0,4,0
 SHA3-224,16588704,0,8,0
 SHA3-224,16588704,0,16,5
 SHA3-224,16588704,0,32,0
 SHA3-224,16588704,0,64,0
 SHA3-224,16588704,0,128,0
 SHA3-224,16588704,0,256,0
 SHA3-224,16588704,0,512,0
 SHA3-224,16588704,0,1024,0
 SHA3-224,16588704,0,2048,0
 SHA3-224,16588704,0,4096,0
 SHA3-224,16588704,0,8192,0
 SHA3-224,16588704,0,16384,0
 SHA3-224,16588704,0,32768,0
 SHA3-224,16588704,0,65536,0
 SHA3-224,16588704,0,131072,0
 SHA3-224,16588704,0,262144,0
 SHA3-224,16588704,0,524288,0
 SHA3-224,16588704,0,1048576,0
 SHA3-224,16588704,0,2097152,0
 SHA3-224,16588704,0,4194304,0
 SHA3-224,16588704,0,8388608,0
 SHA3-224,16588704,0,16777216,0
 SHA3-224,16588704,0,33554432,0
 SHA3-224,16588704,0,67108864,0
 SHA3-256,16588704,0,1,0
 SHA3-256,16588704,0,2,0
 SHA3-256,16588704,0,4,0
 SHA3-256,16588704,0,8,0
 SHA3-256,16588704,0,16,0
 SHA3-256,16588704,0,32,0
 SHA3-256,16588704,0,64,0
 SHA3-256,16588704,0,128,0
 SHA3-256,16588704,0,256,0
 SHA3-256,16588704,0,512,0
 SHA3-256,16588704,0,1024,0
 SHA3-256,16588704,0,2048,0
 SHA3-256,16588704,0,4096,0
 SHA3-256,16588704,0,8192,0
 SHA3-256,16588704,0,16384,0
 SHA3-256,16588704,0,32768,0
 SHA3-256,16588704,0,65536,0
 SHA3-256,16588704,0,131072,0
 SHA3-256,16588704,0,262144,0
 SHA3-256,16588704,0,524288,0
 SHA3-256,16588704,0,1048576,0
 SHA3-256,16588704,0,2097152,0
 SHA3-256,16588704,0,4194304,0
 SHA3-256,16588704,0,8388608,0
 SHA3-256,16588704,0,16777216,0
 SHA3-256,16588704,0,33554432,0
 SHA3-256,16588704,0,67108864,0
 SHA3-384,16588704,0,1,0
 SHA3-384,16588704,0,2,0
 SHA3-384,16588704,0,4,0
 SHA3-384,16588704,0,8,5
 SHA3-384,16588704,0,16,0
 SHA3-384,16588704,0,32,0
 SHA3-384,16588704,0,64,0
 SHA3-384,16588704,0,128,0
 SHA3-384,16588704,0,256,0
 SHA3-384,16588704,0,512,0
 SHA3-384,16588704,0,1024,0
 SHA3-384,16588704,0,2048,0
 SHA3-384,16588704,0,4096,0
 SHA3-384,16588704,0,8192,0
 SHA3-384,16588704,0,16384,0
 SHA3-384,16588704,0,32768,0
 SHA3-384,16588704,0,65536,0
 SHA3-384,16588704,0,131072,0
 SHA3-384,16588704,0,262144,0
 SHA3-384,16588704,0,524288,0
 SHA3-384,16588704,0,1048576,0
 SHA3-384,16588704,0,2097152,0
 SHA3-384,16588704,0,4194304,0
 SHA3-384,16588704,0,8388608,0
 SHA3-384,16588704,0,16777216,0
 SHA3-384,16588704,0,33554432,0
 SHA3-384,16588704,0,67108864,0
 SHA3-512,16588704,0,1,0
 SHA3-512,16588704,0,2,0
 SHA3-512,16588704,0,4,0
 SHA3-512,16588704,0,8,0
 SHA3-512,16588704,0,16,0
 SHA3-512,16588704,0,32,0
 SHA3-512,16588704,0,64,0
 SHA3-512,16588704,0,128,0
 SHA3-512,16588704,0,256,0
 SHA3-512,16588704,0,512,0
 SHA3-512,16588704,0,1024,0
 SHA3-512,16588704,0,2048,0
