sAlgorithm,inputLength,outputLength,buffersize,time
 SHA3-256,16192,0,2097152,1349
 SHA3-256,16192,0,4194304,2697
 SHA3-256,16192,0,8388608,5308
 SHA3-256,16192,0,16777216,10692
 SHA3-256,16192,0,33554432,21409
 SHA3-256,16192,0,67108864,43382
 SHA3-384,16192,0,1,1
 SHA3-384,16192,0,2,0
 SHA3-384,16192,0,4,0
 SHA3-384,16192,0,8,1
 SHA3-384,16192,0,16,0
 SHA3-384,16192,0,32,0
 SHA3-384,16192,0,64,0
 SHA3-384,16192,0,128,1
 SHA3-384,16192,0,256,0
 SHA3-384,16192,0,512,1
 SHA3-384,16192,0,1024,1
 SHA3-384,16192,0,2048,1
 SHA3-384,16192,0,4096,2
 SHA3-384,16192,0,8192,5
 SHA3-384,16192,0,16384,9
 SHA3-384,16192,0,32768,22
 SHA3-384,16192,0,65536,41
 SHA3-384,16192,0,131072,96
 SHA3-384,16192,0,262144,163
 SHA3-384,16192,0,524288,332
 SHA3-384,16192,0,1048576,696
 SHA3-384,16192,0,2097152,1375
 SHA3-384,16192,0,4194304,2751
 SHA3-384,16192,0,8388608,5411
 SHA3-384,16192,0,16777216,10802
 SHA3-384,16192,0,33554432,21700
 SHA3-384,16192,0,67108864,33146
 SHA3-512,16192,0,1,0
 SHA3-512,16192,0,2,0
 SHA3-512,16192,0,4,0
 SHA3-512,16192,0,8,0
 SHA3-512,16192,0,16,0
 SHA3-512,16192,0,32,5
 SHA3-512,16192,0,64,0
 SHA3-512,16192,0,128,0
 SHA3-512,16192,0,256,0
 SHA3-512,16192,0,512,0
 SHA3-512,16192,0,1024,0
 SHA3-512,16192,0,2048,0
 SHA3-512,16192,0,4096,0
 SHA3-512,16192,0,8192,5
 SHA3-512,16192,0,16384,10
 SHA3-512,16192,0,32768,17
 SHA3-512,16192,0,65536,37
 SHA3-512,16192,0,131072,66
 SHA3-512,16192,0,262144,123
 SHA3-512,16192,0,524288,255
 SHA3-512,16192,0,1048576,520
 SHA3-512,16192,0,2097152,1031
 SHA3-512,16192,0,4194304,2068
 SHA3-512,16192,0,8388608,4083
 SHA3-512,16192,0,16777216,8188
 SHA3-512,16192,0,33554432,16407
 SHA3-512,16192,0,67108864,32740
 SHA-1,24288,0,1,1
 SHA-1,24288,0,2,0
 SHA-1,24288,0,4,0
 SHA-1,24288,0,8,0
 SHA-1,24288,0,16,0
 SHA-1,24288,0,32,0
 SHA-1,24288,0,64,0
 SHA-1,24288,0,128,0
 SHA-1,24288,0,256,0
 SHA-1,24288,0,512,0
 SHA-1,24288,0,1024,0
 SHA-1,24288,0,2048,0
 SHA-1,24288,0,4096,0
 SHA-1,24288,0,8192,0
 SHA-1,24288,0,16384,0
 SHA-1,24288,0,32768,0
 SHA-1,24288,0,65536,0
 SHA-1,24288,0,131072,0
 SHA-1,24288,0,262144,0
 SHA-1,24288,0,524288,0
 SHA-1,24288,0,1048576,0
 SHA-1,24288,0,2097152,0
 SHA-1,24288,0,4194304,0
 SHA-1,24288,0,8388608,5
 SHA-1,24288,0,16777216,0
 SHA-1,24288,0,33554432,0
 SHA-1,24288,0,67108864,0
 SHA-224,24288,0,1,0
 SHA-224,24288,0,2,0
 SHA-224,24288,0,4,0
 SHA-224,24288,0,8,0
 SHA-224,24288,0,16,0
